,SKU,DESCRIPTION,YEAR,CAPACITY,URL,PRICE,SELLER_INFORMATION,OFFER_DESCRIPTION,COUNTRY
8524,11545,"Ch Pape Clement,Rouge",1990,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/1990/-/-/u,$195.00,Belmont Wine Exchange LLC,1990Pape Clement,USA (CA)
8525,11545,"Ch Pape Clement,Rouge",1990,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/1990/-/-/u,$199.00,Benchmark Wine Group,Pape Clement1990,USA (CA)
8528,11545,"Ch Pape Clement,Rouge",1990,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/1990/-/-/u,$228.00,The Redd Collection,"1990Ch Pape Clement,Rouge",USA (CA)
8529,11545,"Ch Pape Clement,Rouge",1990,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/1990/-/-/u,$250.55,Aabalat Fine & Rare Wines,"1990Pape Clement Pessac Leognan,Red Blend",USA (CA)
8546,11546,"Ch Pape Clement,Rouge",1999,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/1999/-/-/u,$127.00,The Redd Collection,"1999Ch Pape Clement,Rouge",USA (CA)
8551,11546,"Ch Pape Clement,Rouge",1999,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/1999/-/-/u,$160.00,Sokolin & Co.,1999Pape Clement,USA (NY)
8553,11546,"Ch Pape Clement,Rouge",1999,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/1999/-/-/u,$179.99,Hi-Time Wine Cellars,1999PAPECLEMENT99PESSAC,USA (CA)
8581,11547,"Ch Pape Clement,Rouge",2005,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2005/-/-/u,$205.00,IronGate.Wine,2005Pape Clement-750mL,USA (NY)
8583,11547,"Ch Pape Clement,Rouge",2005,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2005/-/-/u,$209.00,The Redd Collection,"2005Ch Pape Clement,Rouge",USA (CA)
8584,11547,"Ch Pape Clement,Rouge",2005,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2005/-/-/u,$213.00,Westgarth Wines,2005Pape Clement,USA (CA)
8586,11547,"Ch Pape Clement,Rouge",2005,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2005/-/-/u,$218.00,Vinfolio,2005Pape Clement750ML,USA (CA)
8587,11547,"Ch Pape Clement,Rouge",2005,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2005/-/-/u,$219.00,Acker Merrall & Condit New York Retail,2005Pape Clement,USA (NY)
8588,11547,"Ch Pape Clement,Rouge",2005,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2005/-/-/u,$219.99,Maximum Beverage,Chateau Pape Clement-Pessac-Leognan2005,USA (CT)
8589,11547,"Ch Pape Clement,Rouge",2005,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2005/-/-/u,$220.00,European Wine Resource,2005Pape Clement,USA (CA)
8592,11547,"Ch Pape Clement,Rouge",2005,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2005/-/-/u,$249.00,Casey Key Collector Wine,Chateau Pape Clement Bordeauxblend Bordeaux Pessac-Leognan2005,USA (FL)
8593,11547,"Ch Pape Clement,Rouge",2005,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2005/-/-/u,$249.99,Canals Discount Liquor Mart,"Chateau-Pape-Clement Pessac Leognan2005,Bordeaux,Pessac-Leognan",USA (NJ)
8595,11547,"Ch Pape Clement,Rouge",2005,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2005/-/-/u,$259.00,Sokolin & Co.,2005Pape Clement,USA (NY)
8598,11547,"Ch Pape Clement,Rouge",2005,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2005/-/-/u,$280.50,Aabalat Fine & Rare Wines,"2005Pape Clement Pessac Leognan,Red Blend",USA (CA)
8599,11547,"Ch Pape Clement,Rouge",2005,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2005/-/-/u,$299.99,Pogo's Liquor Inc.,Chateau Pape Clement-Pessac-Leognan2005,USA (TX)
8600,11547,"Ch Pape Clement,Rouge",2005,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2005/-/-/u,$319.99,"Total Wine & More, Bellevue","2005Chateau Pape Clement Pessac,Bordeaux Blend,Pessac-Leognan,Bordeaux,France",USA (WA)
8602,11547,"Ch Pape Clement,Rouge",2005,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2005/-/-/u,$415.00,European Wine Resource,2005Pape Clement(1.5Liter),USA (CA)
8604,11547,"Ch Pape Clement,Rouge",2005,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2005/-/-/u,$499.00,Sokolin & Co.,2005Pape Clement,USA (NY)
8605,11547,"Ch Pape Clement,Rouge",2005,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2005/-/-/u,$525.50,Aabalat Fine & Rare Wines,"2005Pape Clement Pessac Leognan,Red Blend",USA (CA)
8620,11548,"Ch Pape Clement,Rouge",2009,1.5L,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$170.00,Benchmark Wine Group,Pape Clement2009,USA (CA)
