,SKU,DESCRIPTION,YEAR,CAPACITY,URL,PRICE,SELLER_INFORMATION,OFFER_DESCRIPTION,COUNTRY
3061,11416,Ch Haut-Bailly,2010,750ml,https://www.wine-searcher.com/find/ch+haut+bailly/2010/-/-/u,$155.00,Benchmark Wine Group,Haut Bailly2010,USA (CA)
3062,11416,Ch Haut-Bailly,2010,750ml,https://www.wine-searcher.com/find/ch+haut+bailly/2010/-/-/u,$158.00,European Wine Resource,2010Haut Bailly,USA (CA)
3063,11416,Ch Haut-Bailly,2010,750ml,https://www.wine-searcher.com/find/ch+haut+bailly/2010/-/-/u,$158.99,Grand Vin Wine Merchants US,Haut Bailly2010(750ML)Pessac Leognan,USA (WA)
3064,11416,Ch Haut-Bailly,2010,750ml,https://www.wine-searcher.com/find/ch+haut+bailly/2010/-/-/u,$159.00,Vinfolio,2010Haut-Bailly750ML,USA (CA)
3065,11416,Ch Haut-Bailly,2010,750ml,https://www.wine-searcher.com/find/ch+haut+bailly/2010/-/-/u,$159.00,"Sotheby's Wine New York, Retail","2010Haut Bailly,Pessac-Leognan",USA (NY)
3068,11416,Ch Haut-Bailly,2010,750ml,https://www.wine-searcher.com/find/ch+haut+bailly/2010/-/-/u,$159.94,JJ Buckley Fine Wines,"2010Haut Bailly Bordeaux Blend,Pessac Leognan",USA (CA)
3069,11416,Ch Haut-Bailly,2010,750ml,https://www.wine-searcher.com/find/ch+haut+bailly/2010/-/-/u,$159.99,America's Wine Shop,Chateau Haut-Bailly-Pessac-Leognan2010,USA (NY)
3070,11416,Ch Haut-Bailly,2010,750ml,https://www.wine-searcher.com/find/ch+haut+bailly/2010/-/-/u,$159.99,WineDeals.com Premier Wine & Spirits,Chateau Haut-Bailly Pessac-Leognan2010/750ml.,USA (NY)
3075,11416,Ch Haut-Bailly,2010,750ml,https://www.wine-searcher.com/find/ch+haut+bailly/2010/-/-/u,$164.99,Millesima - USA,"Chateau Haut-Bailly2010,Pessac-Leognan,Cruclasse,Red",USA (NY)
3077,11416,Ch Haut-Bailly,2010,750ml,https://www.wine-searcher.com/find/ch+haut+bailly/2010/-/-/u,$169.00,Hart Davis Hart Wine Co.,"2010Chateau Haut-Bailly(750ml),Pessac-Leognan",USA (IL)
3082,11416,Ch Haut-Bailly,2010,750ml,https://www.wine-searcher.com/find/ch+haut+bailly/2010/-/-/u,$179.00,Sokolin & Co.,2010Haut Bailly,USA (NY)
3083,11416,Ch Haut-Bailly,2010,750ml,https://www.wine-searcher.com/find/ch+haut+bailly/2010/-/-/u,$179.99,Ludwigs Fine Wine,Chateau Haut-Bailly Grand Cru Classe2010750ml,USA (CA)
3084,11416,Ch Haut-Bailly,2010,750ml,https://www.wine-searcher.com/find/ch+haut+bailly/2010/-/-/u,$179.99,Wally's Wine & Spirits,"2010Chateau Haut Bailly750mL,2010",USA (CA)
3085,11416,Ch Haut-Bailly,2010,750ml,https://www.wine-searcher.com/find/ch+haut+bailly/2010/-/-/u,$179.99,Wine.com,2010Chateau Haut-Bailly,USA (CA)
3086,11416,Ch Haut-Bailly,2010,750ml,https://www.wine-searcher.com/find/ch+haut+bailly/2010/-/-/u,$180.00,WineTransit.com Premium Wine & Spirits,Chateau Haut-Bailly Pessac-Leognan2010/750ml.,USA (NY)
3088,11416,Ch Haut-Bailly,2010,750ml,https://www.wine-searcher.com/find/ch+haut+bailly/2010/-/-/u,$194.95,Aabalat Fine & Rare Wines,"2010Haut Bailly Pessac Leognan,Red Blend",USA (CA)
3102,11417,Ch Haut-Brion,1986,750ml,https://www.wine-searcher.com/find/ch+haut-brion/1986/-/-/u,$525.00,Fine Wines International,"1986Chateau Haut-Brion,Pessac-Leognan,France750ml",USA (CA)
3103,11417,Ch Haut-Brion,1986,750ml,https://www.wine-searcher.com/find/ch+haut-brion/1986/-/-/u,$525.00,Cellaraiders,1986Haut Brion,USA (NY)
3107,11417,Ch Haut-Brion,1986,750ml,https://www.wine-searcher.com/find/ch+haut-brion/1986/-/-/u,$574.95,Vinfolio,1986Haut-Brion750ML,USA (CA)
3108,11417,Ch Haut-Brion,1986,750ml,https://www.wine-searcher.com/find/ch+haut-brion/1986/-/-/u,$582.00,The Redd Collection,1986Ch Haut-Brion,USA (CA)
3109,11417,Ch Haut-Brion,1986,750ml,https://www.wine-searcher.com/find/ch+haut-brion/1986/-/-/u,$599.00,Kogod Wine Merchant,1986Haut Brion,USA (CA)
3110,11417,Ch Haut-Brion,1986,750ml,https://www.wine-searcher.com/find/ch+haut-brion/1986/-/-/u,$599.95,Crush Wine & Spirits,1986Chateau Haut-Brion750ml,USA (NY)
3111,11417,Ch Haut-Brion,1986,750ml,https://www.wine-searcher.com/find/ch+haut-brion/1986/-/-/u,$599.99,"Wine Library, Springfield, NJ","1986Chateau Haut Brion Pessac Leognan,Bordeaux",USA (NJ)
3112,11417,Ch Haut-Brion,1986,750ml,https://www.wine-searcher.com/find/ch+haut-brion/1986/-/-/u,$599.99,Raeders Wines & Liquors,"1986Chateau Haut-Brion Pessac Leognan,France,Bordeaux,Graves,Red",USA (NY)
3113,11417,Ch Haut-Brion,1986,750ml,https://www.wine-searcher.com/find/ch+haut-brion/1986/-/-/u,$599.99,Artisan Wine Depot,"Chateau Haut-Brion Pessac-Leognan Premier Grand Cru1986(Graves,Bordeaux,France)-[RP93],Haut Brion",USA (CA)
3114,11417,Ch Haut-Brion,1986,750ml,https://www.wine-searcher.com/find/ch+haut-brion/1986/-/-/u,$624.99,"Zachys Wine and Liquor, Inc.",Haut Brion1986(750ML),USA (NY)
3116,11417,Ch Haut-Brion,1986,750ml,https://www.wine-searcher.com/find/ch+haut-brion/1986/-/-/u,$651.00,EC Cellars LLC,"1986Chateau Haut-Brion,Pessac-Leognan,France,[nickedlabel]",USA (CA)
3118,11417,Ch Haut-Brion,1986,750ml,https://www.wine-searcher.com/find/ch+haut-brion/1986/-/-/u,$665.00,Sokolin & Co.,1986Haut Brion,USA (NY)
3119,11417,Ch Haut-Brion,1986,750ml,https://www.wine-searcher.com/find/ch+haut-brion/1986/-/-/u,$698.00,EC Cellars LLC,"1986Chateau Haut-Brion,Pessac-Leognan,France,OWC",USA (CA)
3130,11418,Ch Haut-Brion,2005,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2005/-/-/u,$585.00,Sokolin & Co.,2005Haut Brion,USA (NY)
3150,11418,Ch Haut-Brion,2005,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2005/-/-/u,$849.00,Benchmark Wine Group,Haut Brion2005,USA (CA)
3153,11418,Ch Haut-Brion,2005,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2005/-/-/u,$858.00,The Redd Collection,2005Ch Haut-Brion,USA (CA)
3155,11418,Ch Haut-Brion,2005,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2005/-/-/u,$875.00,Cellaraiders,2005Haut Brion,USA (NY)
3157,11418,Ch Haut-Brion,2005,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2005/-/-/u,$895.00,Vinfolio,2005Haut-Brion750ML,USA (CA)
3161,11418,Ch Haut-Brion,2005,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2005/-/-/u,$989.00,Sokolin & Co.,2005Haut Brion,USA (NY)
3162,11418,Ch Haut-Brion,2005,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2005/-/-/u,$995.00,"Sotheby's Wine New York, Retail","2005Haut Brion,Pessac-Leognan",USA (NY)
3163,11418,Ch Haut-Brion,2005,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2005/-/-/u,$999.00,WineMadeEasy.com (Prestige Wine),"Chateau Haut-Brion,Pessac-Leognan2005/750ml.Southern Bordeaux",USA (NY)
3166,11418,Ch Haut-Brion,2005,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2005/-/-/u,$1039.99,Winesanywhere,"2005Chateau Haut Brion Pessac Leognan,France,Bordeaux,Graves,Red",USA (NJ)
3167,11418,Ch Haut-Brion,2005,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2005/-/-/u,$1050.00,Grand Vin Wine Merchants US,Haut Brion2005(750ML)Pessac Leognan,USA (WA)
3169,11418,Ch Haut-Brion,2005,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2005/-/-/u,$1109.84,Saratoga Wine Exchange,"2005Chateau Haut Brion Pessac Leognan,France,Bordeaux,Graves",USA (NY)
3170,11418,Ch Haut-Brion,2005,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2005/-/-/u,$1149.99,Astor Wines,"2005Ch.Haut-Brion,Pessac-Leognan,Graves,France,Red",USA (NY)
3171,11418,Ch Haut-Brion,2005,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2005/-/-/u,$1150.00,Morrell & Company,"Haut Brion Pessac-Leognan2005750ML*,Pessac Leognan",USA (NY)
3172,11418,Ch Haut-Brion,2005,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2005/-/-/u,$1150.00,Domaine Franey Wines & Spirits,"Chateau-Haut-Brion Pessac Leognan2005,Bordeaux,Pessac-Leognan",USA (NY)
3174,11418,Ch Haut-Brion,2005,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2005/-/-/u,$1278.89,Aabalat Fine & Rare Wines,"2005Haut Brion Pessac Leognan,Red Blend",USA (CA)
3175,11418,Ch Haut-Brion,2005,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2005/-/-/u,$1499.99,67 Wine & Spirits NY,Chateau Haut Brion-Pessac Leognan2005(1.5Liter),USA (NY)
3177,11418,Ch Haut-Brion,2005,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2005/-/-/u,$1699.00,Benchmark Wine Group,Haut Brion20051.5L,USA (CA)
3201,11419,Ch Haut-Brion,2009,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2009/-/-/u,$819.00,Vinfolio,2009Haut-Brion750ML,USA (CA)
3203,11419,Ch Haut-Brion,2009,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2009/-/-/u,$825.00,Benchmark Wine Group,Haut Brion2009,USA (CA)
3205,11419,Ch Haut-Brion,2009,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2009/-/-/u,$840.00,Westgarth Wines,2009Haut Brion,USA (CA)
3206,11419,Ch Haut-Brion,2009,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2009/-/-/u,$841.00,The Redd Collection,2009Ch Haut-Brion,USA (CA)
3207,11419,Ch Haut-Brion,2009,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2009/-/-/u,$849.00,Acker Merrall & Condit New York Retail,2009Haut Brion,USA (NY)
3211,11419,Ch Haut-Brion,2009,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2009/-/-/u,$895.00,European Wine Resource,2009Haut Brion,USA (CA)
3212,11419,Ch Haut-Brion,2009,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2009/-/-/u,$898.00,R.H.C. Selections,"Chateau Haut-Brion Bordeaux Pessac-Leognan France,2009,750",USA (OR)
3213,11419,Ch Haut-Brion,2009,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2009/-/-/u,$899.99,M & D Fine Wines & Spirits,2009Chateau Haut-Brion Pessac Leognan,USA (NJ)
3218,11419,Ch Haut-Brion,2009,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2009/-/-/u,$950.00,Guido's Wine,"Haut Brion2009,750ml",USA (CA)
3219,11419,Ch Haut-Brion,2009,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2009/-/-/u,$959.00,Sokolin & Co.,2009Haut Brion,USA (NY)
3221,11419,Ch Haut-Brion,2009,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2009/-/-/u,$999.00,"Zachys Wine and Liquor, Inc.",Haut Brion2009(750ML),USA (NY)
3222,11419,Ch Haut-Brion,2009,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2009/-/-/u,$999.98,Wine Exchange,Haut Brion Pessac Leognan2009Pre-Arrival,USA (CA)
3223,11419,Ch Haut-Brion,2009,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2009/-/-/u,$999.99,K&L Wine Merchants,2009Haut-Brion Pessac-Leognan,USA (CA)
3224,11419,Ch Haut-Brion,2009,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2009/-/-/u,$1012.84,Saratoga Wine Exchange,"2009Chateau Haut Brion Pessac Leognan,France,Bordeaux,Graves",USA (NY)
3225,11419,Ch Haut-Brion,2009,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2009/-/-/u,$1020.97,PJ Wine,Chateau Haut Brion Pessac-Leognan2009(750ML),USA (NY)
3226,11419,Ch Haut-Brion,2009,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2009/-/-/u,$1025.00,Fine Wines International,"2009Chateau Haut-Brion,Pessac-Leognan,France750ml",USA (CA)
3228,11419,Ch Haut-Brion,2009,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2009/-/-/u,$1050.00,Gordon's Fine Wines & Liquors,HAUT-BRIONPESSAC-LEOGNAN2009750ML,USA (MA)
3251,11420,Ch Haut-Brion,2013,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2013/-/-/u,$407.00,The Redd Collection,2013Ch Haut-Brion,USA (CA)
3258,11420,Ch Haut-Brion,2013,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2013/-/-/u,$425.00,"Sotheby's Wine New York, Retail","2013Haut Brion,Pessac-Leognan",USA (NY)
3260,11420,Ch Haut-Brion,2013,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2013/-/-/u,$449.97,"Total Wine & More, Bellevue","2013Chateau Haut Brion Pessac,Bordeaux Blend,Pessac-Leognan,Bordeaux,France",USA (WA)
3261,11420,Ch Haut-Brion,2013,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2013/-/-/u,$449.97,"Total Wine & More, Millenia","2013Chateau Haut Brion Pessac,Bordeaux Blend,Pessac-Leognan,Bordeaux,France",USA (FL)
3264,11420,Ch Haut-Brion,2013,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2013/-/-/u,$459.00,Wally's Wine & Spirits,"2013Chateau Haut Brion750mL,2013",USA (CA)
3266,11420,Ch Haut-Brion,2013,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2013/-/-/u,$459.99,Pogo's Liquor Inc.,Chateau Haut Brion-Pessac-leognan2013,USA (TX)
3269,11420,Ch Haut-Brion,2013,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2013/-/-/u,$625.00,Sherry-Lehmann,"Haut Brion,(Pessac Leognan),2013",USA (NY)
3280,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$300.00,Millesima - USA,"Chateau Haut-Brion2015,Pessac-Leognan,Classified First Growth,Red",USA (NY)
3281,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$325.00,"Sotheby's Wine New York, Retail","2015Haut Brion,Pessac-Leognan",USA (NY)
3283,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$547.98,Yankee Spirits,HAUTBRIONPESSACLEOGNANROUGE2015,USA (MA)
3287,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$579.99,WineTransit.com Premium Wine & Spirits,"Chateau Haut-Brion,Premier Grand Cru Classe2015/750ml.",USA (NY)
3299,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$625.00,"Sotheby's Wine New York, Retail","2015Haut Brion,Pessac-Leognan",USA (NY)
3304,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$644.98,"The Wine House, San Francisco",2015Chateau Haut-Brion Pessac-Leognan,USA (CA)
3305,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$644.99,Applejack Wine & Spirits,2015Chateau Haut Brion750ml,USA (CO)
3307,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$649.00,Calvert Woodley,Chateau Haut-Brion-Pessac-Leognan2015(750ml),USA (DC)
3309,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$649.97,"Total Wine & More, S. Las Vegas Blvd","2015Chateau Haut Brion Pessac,Bordeaux Blend,Pessac-Leognan,Bordeaux,France",USA (NV)
3310,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$649.97,"Total Wine & More, Millenia","2015Chateau Haut Brion Pessac,Bordeaux Blend,Pessac-Leognan,Bordeaux,France",USA (FL)
3311,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$649.97,"Total Wine & More, Bellevue","2015Chateau Haut Brion Pessac,Bordeaux Blend,Pessac-Leognan,Bordeaux,France",USA (WA)
3312,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$649.98,Vine Republic,"Chateau-Haut-Brion Pessac Leognan2015,Bordeaux Pessac-Leognan",USA (NJ)
3314,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$650.00,Millesima - USA,"Chateau Haut-Brion2015,Pessac-Leognan,Classified First Growth,Red",USA (NY)
3316,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$659.99,67 Wine & Spirits NY,Chateau Haut Brion-Pessac-Leognan2015,USA (NY)
3317,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$663.00,Westgarth Wines,2015Haut Brion,USA (CA)
3319,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$675.00,European Wine Resource,2015Haut Brion,USA (CA)
3324,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$695.00,Gil Turner's Fine Wines and Spirits,2015Chateau Haut Brion(750ML),USA (CA)
3325,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$699.00, Shop,Chateau-Haut-Brion Pessac Leognan2015,USA (NJ)
3326,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$699.00,Bounty Hunter Rare Wine & Spirits,2015Chateau Haut Brion Pessac-Leognan,USA (CA)
3327,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$699.00,Big Hammer Wines,2015Chateau Haut Brion Pessac Leognan1st Classified Growth,USA (CA)
3328,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$699.98,Wine Exchange,Haut Brion Pessac Leognan2015Pre-Arrival,USA (CA)
3329,11421,Ch Haut-Brion,2015,750ml,https://www.wine-searcher.com/find/ch+haut+brion/2015/-/-/u,$699.99,Rye Brook Wine & Spirit Shop,"Chateau-Haut-Brion Pessac Leognan2015,Bordeaux,Pessac-Leognan",USA (NY)
3335,11422,ChL'Eglise Clinet,1995,750ml,https://www.wine-searcher.com/find/ch+l%27eglise+clinet/1995/-/-/u,$215.00,Cellaraiders,1995Eglise Clinet,USA (NY)
3336,11422,ChL'Eglise Clinet,1995,750ml,https://www.wine-searcher.com/find/ch+l%27eglise+clinet/1995/-/-/u,$219.00,IronGate.Wine,1995L'Eglise Clinet-750mL,USA (NY)
3338,11422,ChL'Eglise Clinet,1995,750ml,https://www.wine-searcher.com/find/ch+l%27eglise+clinet/1995/-/-/u,$233.00,The Redd Collection,1995ChL'Eglise Clinet,USA (CA)
3339,11422,ChL'Eglise Clinet,1995,750ml,https://www.wine-searcher.com/find/ch+l%27eglise+clinet/1995/-/-/u,$295.00,Sokolin & Co.,1995L'Eglise Clinet,USA (NY)
3341,11422,ChL'Eglise Clinet,1995,750ml,https://www.wine-searcher.com/find/ch+l%27eglise+clinet/1995/-/-/u,$389.99,67 Wine & Spirits NY,ChateauL'Eglise Clinet-Pomerol1995,USA (NY)
3343,11422,ChL'Eglise Clinet,1995,750ml,https://www.wine-searcher.com/find/ch+l%27eglise+clinet/1995/-/-/u,$749.99,Moe's Fine Wines,L'eglise Clinet1995(1.5Liter),USA (CA)
3349,11423,ChL'Eglise Clinet,2001,750ml,https://www.wine-searcher.com/find/ch+l%27eglise+clinet/2001/-/-/u,$188.00,Prime Cellar CA,2001ChateauL'Eglise-Clinet,USA (CA)
3353,11423,ChL'Eglise Clinet,2001,750ml,https://www.wine-searcher.com/find/ch+l%27eglise+clinet/2001/-/-/u,$221.00,The Redd Collection,2001ChL'Eglise Clinet,USA (CA)
3356,11423,ChL'Eglise Clinet,2001,750ml,https://www.wine-searcher.com/find/ch+l%27eglise+clinet/2001/-/-/u,$230.00,Westgarth Wines,2001Eglise Clinet,USA (CA)
3358,11423,ChL'Eglise Clinet,2001,750ml,https://www.wine-searcher.com/find/ch+l%27eglise+clinet/2001/-/-/u,$265.00,"Sotheby's Wine New York, Retail","2001Eglise Clinet,Pomerol",USA (NY)
3359,11423,ChL'Eglise Clinet,2001,750ml,https://www.wine-searcher.com/find/ch+l%27eglise+clinet/2001/-/-/u,$280.00,Sokolin & Co.,2001L'eglise Clinet,USA (NY)
3369,11423,ChL'Eglise Clinet,2001,750ml,https://www.wine-searcher.com/find/ch+l%27eglise+clinet/2001/-/-/u,$1316.99,Flickinger Wines,2001Ch.L'Eglise Clinet Pomerol,USA (IL)
3371,11423,ChL'Eglise Clinet,2001,750ml,https://www.wine-searcher.com/find/ch+l%27eglise+clinet/2001/-/-/u,$1362.00,Wine Cellarage,2001ChateauL'Eglise Clinet[Future Arrival],USA (NY)
3380,11423,ChL'Eglise Clinet,2001,750ml,https://www.wine-searcher.com/find/ch+l%27eglise+clinet/2001/-/-/u,$2750.00,Westgarth Wines,2001Eglise Clinet,USA (CA)
3392,11424,ChL'Eglise Clinet,2006,750ml,https://www.wine-searcher.com/find/ch+l+eglise+clinet/2006/-/-/u,$177.00,The Redd Collection,2006ChL'Eglise Clinet,USA (CA)
3393,11424,ChL'Eglise Clinet,2006,750ml,https://www.wine-searcher.com/find/ch+l+eglise+clinet/2006/-/-/u,$177.00,Westgarth Wines,2006Eglise Clinet,USA (CA)
3394,11424,ChL'Eglise Clinet,2006,750ml,https://www.wine-searcher.com/find/ch+l+eglise+clinet/2006/-/-/u,$179.00,Cellaraiders,2006Eglise Clinet,USA (NY)
3398,11424,ChL'Eglise Clinet,2006,750ml,https://www.wine-searcher.com/find/ch+l+eglise+clinet/2006/-/-/u,$210.00,Sokolin & Co.,2006L'eglise Clinet,USA (NY)
3402,11424,ChL'Eglise Clinet,2006,750ml,https://www.wine-searcher.com/find/ch+l+eglise+clinet/2006/-/-/u,$273.00,European Wine Resource,2006L'Eglise Clinet,USA (CA)
3403,11424,ChL'Eglise Clinet,2006,750ml,https://www.wine-searcher.com/find/ch+l+eglise+clinet/2006/-/-/u,$347.50,Aabalat Fine & Rare Wines,"2006L'Eglise Clinet Pomerol,Red Blend",USA (CA)
3406,11424,ChL'Eglise Clinet,2006,750ml,https://www.wine-searcher.com/find/ch+l+eglise+clinet/2006/-/-/u,$449.99,Wally's Wine & Spirits,"2006ChateauL'Eglise Clinet750mL,2006",USA (CA)
3407,11424,ChL'Eglise Clinet,2006,750ml,https://www.wine-searcher.com/find/ch+l+eglise+clinet/2006/-/-/u,$660.89,Aabalat Fine & Rare Wines,"2006L'Eglise Clinet Pomerol,Red Blend",USA (CA)
3416,11424,ChL'Eglise Clinet,2006,750ml,https://www.wine-searcher.com/find/ch+l+eglise+clinet/2006/-/-/u,$1074.00,Wine Cellarage,2006ChateauL'Eglise-Clinet Pomerol[Future Arrival],USA (NY)
3438,11425,ChL'Eglise Clinet,2012,750ml,https://www.wine-searcher.com/find/ch+l+eglise+clinet/2012/-/-/u,$195.00, Barn,Pomerol2012ChateauL'Eglise-Clinet[WA96],USA (CA)
3439,11425,ChL'Eglise Clinet,2012,750ml,https://www.wine-searcher.com/find/ch+l+eglise+clinet/2012/-/-/u,$197.00,Yankee Spirits,L'EGLISECLINETPOMEROL2012750,USA (MA)
3440,11425,ChL'Eglise Clinet,2012,750ml,https://www.wine-searcher.com/find/ch+l+eglise+clinet/2012/-/-/u,$199.00,Benchmark Wine Group,l`Eglise Clinet2012,USA (CA)
3448,11425,ChL'Eglise Clinet,2012,750ml,https://www.wine-searcher.com/find/ch+l+eglise+clinet/2012/-/-/u,$221.00,Westgarth Wines,2012Eglise Clinet,USA (CA)
3452,11425,ChL'Eglise Clinet,2012,750ml,https://www.wine-searcher.com/find/ch+l+eglise+clinet/2012/-/-/u,$225.00,The Redd Collection,2012ChL'Eglise Clinet,USA (CA)
3453,11425,ChL'Eglise Clinet,2012,750ml,https://www.wine-searcher.com/find/ch+l+eglise+clinet/2012/-/-/u,$229.99,Varmax Liquor Pantry,ChateauL'Eglise Clinet-Pomerol Bordeaux2012(750ml),USA (NY)
3456,11425,ChL'Eglise Clinet,2012,750ml,https://www.wine-searcher.com/find/ch+l+eglise+clinet/2012/-/-/u,$239.99,Grand Vin Wine Merchants US,L'Eglise Clinet2012(750ML)Pomerol,USA (WA)
3462,11425,ChL'Eglise Clinet,2012,750ml,https://www.wine-searcher.com/find/ch+l+eglise+clinet/2012/-/-/u,$285.00,Sokolin & Co.,2012L'eglise Clinet,USA (NY)
3463,11425,ChL'Eglise Clinet,2012,750ml,https://www.wine-searcher.com/find/ch+l+eglise+clinet/2012/-/-/u,$295.00,Hart Davis Hart Wine Co.,"2012ChateauL'Eglise-Clinet(750ml),Pomerol",USA (IL)
3464,11425,ChL'Eglise Clinet,2012,750ml,https://www.wine-searcher.com/find/ch+l+eglise+clinet/2012/-/-/u,$295.00,Millesima - USA,"ChateauL'Eglise Clinet2012,Pomerol,Red",USA (NY)
3466,11425,ChL'Eglise Clinet,2012,750ml,https://www.wine-searcher.com/find/ch+l+eglise+clinet/2012/-/-/u,$306.75,Aabalat Fine & Rare Wines,"2012L'Eglise Clinet Pomerol,Red Blend",USA (CA)
3468,11425,ChL'Eglise Clinet,2012,750ml,https://www.wine-searcher.com/find/ch+l+eglise+clinet/2012/-/-/u,$314.99,Wally's Wine & Spirits,"2012ChateauL Eglise Clinet750mL,2012",USA (CA)
3482,11426,ChL'Evangile,2005,750ml,https://www.wine-searcher.com/find/ch+l+evangiles/2005/-/-/u,$159.00,Sokolin & Co.,2005L'Evangile,USA (NY)
3485,11426,ChL'Evangile,2005,750ml,https://www.wine-searcher.com/find/ch+l+evangiles/2005/-/-/u,$219.00,Calvert Woodley,ChateauL'Evangile-Pomerol2005(375ml),USA (DC)
3492,11426,ChL'Evangile,2005,750ml,https://www.wine-searcher.com/find/ch+l+evangiles/2005/-/-/u,$278.00,Westgarth Wines,2005Evangile,USA (CA)
3493,11426,ChL'Evangile,2005,750ml,https://www.wine-searcher.com/find/ch+l+evangiles/2005/-/-/u,$278.00,The Redd Collection,2005ChL'Evangile,USA (CA)
3494,11426,ChL'Evangile,2005,750ml,https://www.wine-searcher.com/find/ch+l+evangiles/2005/-/-/u,$279.00,Cellaraiders,2005Evangile,USA (NY)
3497,11426,ChL'Evangile,2005,750ml,https://www.wine-searcher.com/find/ch+l+evangiles/2005/-/-/u,$325.00,Benchmark Wine Group,l`Evangile2005,USA (CA)
